0,0,257,0.0311284046692607
1,1,2531,0.040300276570525484
2,2,4542,0.08168207837956847
3,3,3941,0.17812737883785842
4,4,966,0.08592132505175984
5,5,1306,0.0222052067381317
6,6,173,0.9364161849710982
7,0,1145,0.01572052401746725
8,1,2196,0.07650273224043716
9,2,16572,0.12466811489258992
10,3,29250,0.17883760683760683
11,4,2654,0.18123587038432554
12,5,3334,0.10137972405518897
13,6,786,0.2455470737913486
14,0,3514,0.23306772908366533
15,1,13541,0.16173103906653866
16,2,2351,0.2475542322415993
17,3,4011,0.18922961854899029
18,4,4646,0.18316831683168316
19,5,16458,0.5122129055778345
20,6,2583,0.10530391018195896
21,0,11218,0.11428062043144946
22,1,7397,0.275381911585778
23,2,24781,0.16399661030628304
24,3,42336,0.19628684807256236
25,4,10384,0.1705508474576271
26,5,19998,0.4414941494149415
27,6,11565,0.12036316472114138
28,0,17149,0.12980348708379497
29,1,23241,0.1769287035841831
30,2,7086,0.19023426474738922
31,3,12395,0.19330375151270673
32,4,5688,0.20042194092827004
33,5,54649,0.2178264927080093
34,6,2333,0.14744963566223745
35,0,27942,0.13399184024049818
36,1,41233,0.20030072999781728
37,2,8076,0.1856116889549282
38,3,0,
39,4,34741,0.1780029360122046
40,5,55412,0.21367212878076952
41,6,40884,0.2080275902553566
